"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Colombo","Vishwakalawa","425","100.00"
"Colombo","Colombo","Kahathuduwa","425","100.00"
"Colombo","Colombo","Piliyandala town","425","100.00"
"Colombo","Colombo","Gangabada Road","425","100.00"
"Colombo","Colombo","Bandaragama Road","425","100.00"
"Colombo","Colombo","Batuwandara","425","100.00"
"Colombo","Colombo","jaburaliya","425","100.00"
"Colombo","Colombo","kahapola","425","100.00"
"Colombo","Colombo","piliyandala- Maharagama road","425","100.00"
"Colombo","Colombo","Dehiwala road kesbewa","425","100.00"
"Colombo","Colombo","Neelammahara road kesbewa","425","100.00"
"Colombo","Colombo","Neelammahara","425","100.00"
"Colombo","Colombo","High level road","425","100.00"
"Colombo","Colombo","wattegedara road maharagama","425","100.00"
"Colombo","Colombo","Pathiragoda road maharagama","425","100.00"
"Colombo","Colombo","Pathiragoda","425","100.00"
"Colombo","Colombo","Pamunuwa road maharagama","425","100.00"
"Colombo","Colombo","pansala road maharagama","425","100.00"
"Colombo","Colombo","Kudamaduwa","425","100.00"
"Colombo","Colombo","Werahera","425","100.00"
"Colombo","Colombo","Kohuwala","425","100.00"
"Colombo","Colombo","Dehiwala","425","100.00"
"Colombo","Colombo","Kohuwela","425","100.00"
"Colombo","Colombo","Aththidiya","425","100.00"
"Colombo","Colombo","Kawdana","425","100.00"
"Colombo","Colombo","Galkissa","425","100.00"
"Colombo","Colombo","Mountlavinia","425","100.00"
"Colombo","Colombo","Nedimala","425","100.00"
"Colombo","Colombo","Attidiya","425","100.00"
"Colombo","Colombo","Mt lavinia","425","100.00"
"Colombo","Colombo","Bellanthota","425","100.00"
"Colombo","Colombo","Mount Lavinia","425","100.00"
"Colombo","Colombo","badovita","425","100.00"
"Colombo","Colombo","Pepiliyana","425","100.00"
"Colombo","Colombo","kaudana","425","100.00"
"Colombo","Colombo","KALUBOWILA","425","100.00"
"Colombo","Colombo","hill street","425","100.00"
"Colombo","Colombo","galle road dehiwala","425","100.00"
"Colombo","Colombo","galvihara road","425","100.00"
"Colombo","Colombo","dehiwala station","425","100.00"
"Colombo","Colombo","wanarathana road","425","100.00"
"Colombo","Colombo","waiddya road","425","100.00"
"Colombo","Colombo","bellanthara junction","425","100.00"
"Colombo","Colombo","zoo road","425","100.00"
"Colombo","Colombo","quarry road","425","100.00"
"Colombo","Colombo","temples  road dehiwala","425","100.00"
"Colombo","Colombo","sumanarama road dehiwala","425","100.00"
"Colombo","Colombo","vijaya road dehiwala","425","100.00"
"Colombo","Colombo","huludagoda","425","100.00"
"Colombo","Colombo","de seram roda dehiwala","425","100.00"
"Colombo","Colombo","samudarshana roda dehiwala","425","100.00"
"Colombo","Colombo","watarappola","425","100.00"
"Colombo","Colombo","badovita","425","100.00"
"Colombo","Colombo","teranase road dehiwala","425","100.00"
"Colombo","Colombo","silveter road dehiwala","425","100.00"
"Colombo","Colombo","galle road dehiwala","425","100.00"
"Colombo","Colombo","rathnawali road dehiwala","425","100.00"
"Colombo","Colombo","piris road dehiwala","425","100.00"
"Colombo","Colombo","saranankara road dehiwala","425","100.00"
"Colombo","Colombo","prathibimbarama road dehiwala","425","100.00"
"Colombo","Colombo","jayasamagi mawatha","425","100.00"
"Colombo","Colombo","hospital road dehiwala","425","100.00"
